Sale_Order_No,Order_Date,Plant,Product_Group,Product,Unit_Price,System_Price,Price_Variance_Pct
SO8086637,2024-06-03,P102,LAUNDRY,DRYER,1202.46,1587.98,32.060941736107644
SO8038717,2024-06-04,P101,REF,TMF,2294.27,3041.05,32.54978707824276
SO8023680,2024-06-05,P108,LAUNDRY,DRYER,1292.88,1525.24,17.972278943134697
SO8070970,2024-06-05,P104,REF,FDR,1819.99,2097.23,15.233050731047973
SO8060469,2024-06-05,P105,DW,DW,1183.1,1380.69,16.701039641619488
SO8052692,2024-06-07,P102,REF,SBS,1703.5,1925.99,13.060757264455534
SO8009780,2024-06-07,P104,REF,FDR,2099.54,2806.71,33.68213989731084
SO8047582,2024-06-08,P103,REF,1DOOR,813.29,955.43,17.477160668396266
SO8040834,2024-06-09,P107,REF,TMF,1774.41,2228.67,25.60062217863966
SO8011719,2024-06-10,P102,DW,DW,622.49,790.17,26.936978907291675
SO8020549,2024-06-11,P106,REF,SBS,2370.81,2932.45,23.689793783559203
SO8084715,2024-06-13,P102,LAUNDRY,DRYER,986.62,1246.32,26.322190914435133
SO8079147,2024-06-14,P101,REF,TMF,2093.59,2689.94,28.4845647906228
SO8039605,2024-06-14,P105,REF,1DOOR,2933.0,3430.77,16.971360381861576
SO8020341,2024-06-15,P103,REF,TMF,2820.34,3730.08,32.25639461908847
SO8018787,2024-06-15,P108,COOKING,MWO,966.81,1094.97,13.255965494771473
SO8000930,2024-06-15,P104,COOKING,MWO,428.47,565.03,31.871542931827186
SO8077226,2024-06-16,P103,COOKING,COOKTOP,384.53,438.35,13.996307180194018
SO8029777,2024-06-16,P107,LAUNDRY,WASHER,1550.51,1771.78,14.270788321262035
SO8052099,2024-06-17,P104,REF,WINE CELLAR,2039.64,2514.9,23.30117079484615
SO8068543,2024-06-17,P105,COOKING,COOKTOP,1144.29,1337.27,16.864606000227216
SO8026918,2024-06-17,P104,COOKING,OTHERS,1017.58,1365.31,34.17225181312525
SO8034981,2024-06-19,P104,DW,DW,489.37,626.63,28.048307006968145
SO8082482,2024-06-19,P107,REF,TMF,2955.04,3346.6,13.250582056418864
SO8029735,2024-06-21,P108,REF,FDR,2274.22,2970.52,30.617090694831646
SO8017995,2024-06-21,P107,DW,DW,404.74,465.39,14.984928596135786
SO8069922,2024-06-21,P107,DW,DW,882.54,1055.89,19.642169193464333
SO8018186,2024-06-21,P101,REF,1DOOR,1967.8,2582.24,31.22471795914218
SO8054019,2024-06-22,P107,REF,TMF,1834.38,2263.58,23.397551216214733
SO8008702,2024-06-22,P102,LAUNDRY,WASHER,476.41,619.94,30.127411263407573
SO8081963,2024-06-22,P107,REF,SBS,867.97,1080.11,24.440936898740727
SO8062434,2024-06-22,P103,LAUNDRY,DRYER,1087.65,1264.83,16.290166873534666
SO8023395,2024-06-23,P104,COOKING,OVEN,969.3,1103.29,13.823377695243991
SO8059322,2024-06-24,P104,REF,FDR,2690.78,3150.2,17.07385962434683
SO8086793,2024-06-24,P101,COOKING,OTHERS,250.09,280.83,12.291575032988117
SO8001723,2024-06-24,P107,COOKING,OVEN,1165.65,1568.07,34.523227383863066
SO8054101,2024-06-24,P101,REF,WINE CELLAR,1569.77,1944.44,23.867827770947343
SO8019844,2024-06-25,P105,COOKING,RANGE/COOKER,803.08,1083.19,34.87946406335608
SO8072629,2024-06-25,P104,REF,TMF,1177.89,1482.87,25.892061228128245
SO8012990,2024-06-26,P106,REF,WINE CELLAR,3125.91,4214.04,34.810023321208874
SO8085418,2024-06-26,P101,COOKING,OTHERS,1352.09,1748.82,29.341981672817642
SO8070714,2024-06-27,P101,COOKING,OVEN,416.45,518.07,24.40148877416258
SO8046333,2024-06-27,P107,COOKING,OVEN,975.68,1126.33,15.44051328304362
SO8032199,2024-06-27,P102,REF,TMF,1482.74,1976.54,33.30320892401904
SO8066496,2024-06-28,P104,DW,DW,1137.93,1479.28,29.9974515128347
SO8063195,2024-06-29,P108,REF,TMF,2446.03,3271.19,33.734663924808764
SO8043569,2024-06-30,P103,LAUNDRY,DRYER,919.67,1143.79,24.369610838670393
SO8083592,2024-07-02,P104,COOKING,OTHERS,1057.41,1394.95,31.921392837215457
SO8044126,2024-07-02,P101,REF,FDR,3123.71,3712.4,18.845859570830843
SO8027942,2024-07-03,P108,REF,1DOOR,2581.0,3413.51,32.255327392483544
SO8008888,2024-07-03,P103,LAUNDRY,WASHER,904.93,1117.46,23.48579448134111
SO8060779,2024-07-03,P101,REF,FDR,2248.42,2625.45,16.768664217539417
SO8047309,2024-07-03,P102,REF,BMF,2086.62,2568.24,23.08134686718233
SO8086686,2024-07-04,P105,REF,SBS,1430.64,1919.52,34.17211877201811
SO8035998,2024-07-04,P104,REF,FDR,2722.79,3212.55,17.98743200907893
SO8035416,2024-07-04,P104,DW,DW,1014.79,1278.97,26.03297233910465
SO8025431,2024-07-04,P101,LAUNDRY,DRYER,1183.33,1354.59,14.472716824554436
SO8058465,2024-07-05,P106,LAUNDRY,DRYER,1474.38,1652.57,12.085758081363002
SO8019099,2024-07-05,P106,COOKING,OVEN,359.27,430.04,19.698277061819812
SO8040743,2024-07-05,P101,REF,WINE CELLAR,3173.13,3751.84,18.237828264206005
SO8006556,2024-07-06,P106,DW,DW,930.67,1092.94,17.435825802916188
SO8033796,2024-07-06,P104,REF,TMF,1563.2,2097.45,34.17668884339814
SO8061907,2024-07-06,P105,LAUNDRY,WASHER,1522.71,1796.51,17.981099487098657
SO8067866,2024-07-07,P108,REF,BMF,2965.76,3510.8,18.37775140267587
SO8003180,2024-07-07,P106,LAUNDRY,DRYER,480.28,622.13,29.534854668110277
SO8033369,2024-07-07,P105,DW,DW,1024.04,1364.8,33.27604390453498
SO8080470,2024-07-07,P104,REF,WINE CELLAR,2343.89,2727.56,16.368942228517554
SO8074689,2024-07-07,P108,COOKING,MWO,636.9,803.77,26.20034542314335
SO8012110,2024-07-08,P102,REF,TMF,2420.31,3097.75,27.989802959125075
SO8026783,2024-07-08,P101,COOKING,OVEN,829.96,1063.0,28.078461612607832
SO8059922,2024-07-09,P107,REF,WINE CELLAR,1798.51,2355.79,30.985649231864155
SO8033482,2024-07-09,P106,COOKING,OVEN,814.88,1081.82,32.75819752601609
SO8048904,2024-07-09,P107,LAUNDRY,WASHER,458.11,519.25,13.346139573464885
SO8014347,2024-07-09,P101,LAUNDRY,DRYER,1451.33,1751.07,20.65278055301
SO8065799,2024-07-10,P108,DW,DW,1038.35,1280.18,23.28983483411183
SO8053694,2024-07-10,P101,REF,WINE CELLAR,1666.58,2208.29,32.5042902230916
SO8003715,2024-07-11,P105,COOKING,RANGE/COOKER,1306.05,1606.27,22.986868802878913
SO8082566,2024-07-11,P108,LAUNDRY,DRYER,1222.23,1416.22,15.871808088493983
SO8039951,2024-07-11,P106,COOKING,OVEN,984.0,1270.06,29.07113821138211
SO8055637,2024-07-13,P107,DW,DW,839.24,958.79,14.245031218721696
SO8088425,2024-07-14,P101,REF,SBS,943.57,1241.79,31.60549826721917
SO8003135,2024-07-15,P104,REF,TMF,869.24,1052.27,21.056325065574523
SO8023199,2024-07-16,P108,REF,FDR,2653.22,3197.38,20.509418744016717
SO8004862,2024-07-18,P103,REF,BMF,1815.56,2100.99,15.72132014364713
SO8061724,2024-07-18,P108,COOKING,OTHERS,1769.75,2182.14,23.302161322220645
SO8059940,2024-07-18,P103,REF,BMF,1797.26,2348.79,30.68726839744945
SO8087564,2024-07-18,P108,DW,DW,1053.12,1330.52,26.340777879064127
SO8051586,2024-07-19,P103,COOKING,OVEN,1046.58,1208.08,15.431214049570984
SO8011371,2024-07-19,P106,DW,DW,358.05,474.96,32.65186426476748
SO8084792,2024-07-20,P106,DW,DW,1000.77,1337.33,33.630104819289144
SO8071921,2024-07-20,P101,LAUNDRY,WASHER,977.86,1153.9,18.002577056020296
SO8066582,2024-07-20,P106,COOKING,COOKTOP,1007.68,1143.09,13.437797713559856
SO8027892,2024-07-21,P108,DW,DW,439.11,501.55,14.219671608480787
SO8058311,2024-07-21,P108,REF,WINE CELLAR,3072.49,3990.88,29.890740083775714
SO8068441,2024-07-22,P104,REF,SBS,2280.5,2730.64,19.738653803990346
SO8006201,2024-07-22,P104,COOKING,OVEN,829.83,939.54,13.220780159791753
SO8081968,2024-07-23,P103,REF,BMF,1422.25,1772.77,24.645456143434696
SO8021086,2024-07-24,P102,REF,SBS,1368.87,1728.39,26.263998772710355
SO8016399,2024-07-24,P101,REF,TMF,2367.79,3085.94,30.32997014093311
SO8059756,2024-07-24,P105,REF,FDR,2988.85,4003.66,33.95319269953326
SO8023981,2024-07-24,P104,LAUNDRY,DRYER,556.35,629.03,13.063718881998732
SO8012942,2024-07-24,P106,LAUNDRY,WASHER,1115.86,1365.21,22.34599322495655
SO8072409,2024-07-24,P104,DW,DW,727.1,910.71,25.252372438454135
SO8019821,2024-07-25,P104,COOKING,MWO,1104.43,1342.04,21.51426527711126
SO8009977,2024-07-26,P101,REF,1DOOR,1106.44,1464.21,32.33523733776798
SO8011177,2024-07-26,P102,COOKING,COOKTOP,1130.52,1274.13,12.703003927396253
SO8068713,2024-07-27,P103,COOKING,COOKTOP,769.99,888.37,15.374225639294018
SO8045828,2024-07-27,P102,COOKING,RANGE/COOKER,666.45,802.39,20.39762922949958
SO8062928,2024-07-28,P101,REF,BMF,2441.9,3005.68,23.087759531512337
SO8086502,2024-08-01,P105,REF,BMF,999.92,1298.48,29.858388671093692
SO8012926,2024-08-02,P101,REF,WINE CELLAR,2344.87,3159.07,34.72260722342818
SO8032476,2024-08-05,P108,DW,DW,693.7,931.01,34.20931238287443
SO8049070,2024-08-06,P104,REF,TMF,2403.08,2700.1,12.359971370075069
SO8034210,2024-08-06,P101,REF,SBS,2201.91,2637.91,19.80099095785023
SO8035080,2024-08-08,P102,REF,SBS,1938.12,2498.19,28.8975914804037
SO8024506,2024-08-09,P102,COOKING,MWO,1843.89,2423.69,31.444392019046685
SO8051418,2024-08-09,P104,REF,TMF,2452.28,3219.49,31.285579134519693
SO8009530,2024-08-09,P102,REF,TMF,2368.97,2944.35,24.28819275887834
SO8069003,2024-08-09,P101,REF,1DOOR,884.08,1142.53,29.233779748439048
SO8016906,2024-08-10,P105,REF,WINE CELLAR,1683.41,2102.57,24.899460024592944
SO8045224,2024-08-10,P106,DW,DW,1149.68,1357.57,18.082422935077574
SO8065109,2024-08-11,P105,COOKING,OTHERS,1181.68,1337.14,13.15584591429152
SO8075953,2024-08-13,P107,REF,WINE CELLAR,2925.09,3276.62,12.017749881200228
SO8010522,2024-08-13,P105,REF,SBS,1806.52,2207.73,22.208998516484733
SO8068968,2024-08-13,P106,LAUNDRY,DRYER,1335.36,1683.0,26.033429187634805
SO8045314,2024-08-15,P102,REF,WINE CELLAR,3089.52,3673.13,18.8899893834641
SO8059949,2024-08-15,P101,REF,BMF,3118.5,3629.26,16.378387045053717
SO8004018,2024-08-16,P103,LAUNDRY,DRYER,862.23,1084.6,25.79010240887001
SO8063035,2024-08-17,P102,REF,TMF,2084.53,2545.81,22.12872925791424
SO8042386,2024-08-19,P101,REF,BMF,2098.07,2776.91,32.35545048544613
SO8051441,2024-08-20,P102,COOKING,OTHERS,1204.17,1402.63,16.481061644120018
SO8019930,2024-08-21,P104,DW,DW,484.83,627.99,29.527875750262982
